sign_id,en,ne,ne_roman,gloss_code,handshape,location,movement,orientation,two_handed,symmetric,eyebrows,head,category,difficulty,phase,prerequisites
NSL_0001,hello,नमस्ते,namaste,HELLO,flat_B,chest_center,palms_together_static,palm_inward,true,true,neutral,tilt_forward,greetings,1,1,
NSL_0002,thank you,धन्यवाद,dhanyabaad,THANK-YOU,flat_B,chin,outward_arc,palm_inward,false,false,raised,nod,greetings,1,1,
NSL_0003,sorry,माफ गर्नुहोस्,maaf garnuhos,SORRY,fist_A,chest_center,circular,palm_inward,false,false,furrowed,nod,greetings,1,1,
NSL_0004,please,कृपया,kripaya,PLEASE,flat_B,chest_center,circular,palm_inward,false,false,raised,neutral,greetings,1,1,
NSL_0005,yes,हो,ho,YES,fist_A,head_side,nod_repeated,palm_forward,false,false,neutral,nod,greetings,1,1,
NSL_0006,no,होइन,hoina,NO,index_D,neutral_space,side_to_side,palm_forward,false,false,furrowed,shake,greetings,1,1,
NSL_0007,good,राम्रो,ramro,GOOD,thumb_up,chin,outward,palm_inward,false,false,raised,nod,greetings,1,1,
NSL_0008,bad,नराम्रो,naramro,BAD,thumb_down,chin,downward,palm_down,false,false,furrowed,shake,greetings,2,1,
NSL_0009,name,नाम,naam,NAME,index_U,neutral_space,tap_twice,palm_down,true,true,neutral,neutral,greetings,1,1,
NSL_0010,goodbye,बिदा,bidaa,GOODBYE,flat_B,head_side,wave,palm_forward,false,false,raised,neutral,greetings,1,1,
NSL_0011,I,म,ma,ME,index_D,chest_center,point_self,palm_inward,false,false,neutral,neutral,pronouns,1,1,
NSL_0012,you,तिमी,timi,YOU,index_D,neutral_space,point_forward,palm_up,false,false,neutral,neutral,pronouns,1,1,
NSL_0013,he/she,उहाँ,uhaa,THIRD-PERSON,index_D,neutral_space,point_side,palm_up,false,false,neutral,neutral,pronouns,2,1,
NSL_0014,we,हामी,haami,WE,index_D,chest_center,sweep_arc,palm_inward,false,false,neutral,neutral,pronouns,2,1,
NSL_0015,mother,आमा,aamaa,MOTHER,flat_5,chin,tap_twice,palm_inward,false,false,neutral,neutral,family,1,1,
NSL_0016,father,बुबा,bubaa,FATHER,flat_5,forehead,tap_twice,palm_inward,false,false,neutral,neutral,family,1,1,
NSL_0017,brother,दाइ,daai,BROTHER,index_D,forehead,downward,palm_inward,false,false,neutral,neutral,family,2,1,
NSL_0018,sister,दिदी,didi,SISTER,index_D,chin,downward,palm_inward,false,false,neutral,neutral,family,2,1,
NSL_0019,family,परिवार,pariwaar,FAMILY,flat_F,neutral_space,circle_outward,palm_inward,true,true,neutral,neutral,family,2,1,
NSL_0020,friend,साथी,saathi,FRIEND,index_hook,neutral_space,interlock,palm_inward,true,true,raised,neutral,family,2,1,
NSL_0021,one,एक,ek,NUM-1,index_D,neutral_space,static,palm_forward,false,false,neutral,neutral,numbers,1,1,
NSL_0022,two,दुई,dui,NUM-2,index_V,neutral_space,static,palm_forward,false,false,neutral,neutral,numbers,1,1,
NSL_0023,three,तीन,teen,NUM-3,hand_3,neutral_space,static,palm_forward,false,false,neutral,neutral,numbers,1,1,
NSL_0024,four,चार,chaar,NUM-4,hand_4,neutral_space,static,palm_forward,false,false,neutral,neutral,numbers,1,1,
NSL_0025,five,पाँच,paanch,NUM-5,flat_5,neutral_space,static,palm_forward,false,false,neutral,neutral,numbers,1,1,
NSL_0026,six,छ,chha,NUM-6,hand_6,neutral_space,static,palm_forward,false,false,neutral,neutral,numbers,2,1,
NSL_0027,seven,सात,saat,NUM-7,hand_7,neutral_space,static,palm_forward,false,false,neutral,neutral,numbers,2,1,
NSL_0028,eight,आठ,aath,NUM-8,hand_8,neutral_space,static,palm_forward,false,false,neutral,neutral,numbers,2,1,
NSL_0029,nine,नौ,nau,NUM-9,hand_9,neutral_space,static,palm_forward,false,false,neutral,neutral,numbers,2,1,
NSL_0030,ten,दश,dash,NUM-10,fist_A,neutral_space,twist,palm_up,false,false,neutral,neutral,numbers,2,1,
NSL_0031,what,के,ke,WHAT,flat_5,neutral_space,side_to_side,palm_up,true,true,furrowed,tilt_forward,questions,2,1,
NSL_0032,where,कहाँ,kahaa,WHERE,index_D,neutral_space,side_to_side,palm_up,false,false,furrowed,tilt_forward,questions,2,1,
NSL_0033,who,को,ko,WHO,index_D,chin,circle_small,palm_inward,false,false,furrowed,tilt_forward,questions,2,1,
NSL_0034,when,कहिले,kahile,WHEN,index_D,neutral_space,circle_around,palm_down,true,false,furrowed,tilt_forward,questions,3,1,
NSL_0035,why,किन,kina,WHY,index_D,forehead,outward_flick,palm_inward,false,false,furrowed,tilt_forward,questions,3,1,
NSL_0036,how,कसरी,kasari,HOW,curved_C,neutral_space,rotate_up,palm_up,true,true,furrowed,tilt_forward,questions,3,1,
NSL_0037,eat,खानु,khaanu,EAT,flat_O,mouth,tap_repeated,palm_inward,false,false,neutral,neutral,daily_verbs,1,1,
NSL_0038,drink,पिउनु,piunu,DRINK,curved_C,mouth,tilt_up,palm_inward,false,false,neutral,neutral,daily_verbs,1,1,
NSL_0039,water,पानी,paani,WATER,hand_W,chin,tap_twice,palm_inward,false,false,neutral,neutral,food_drink,1,1,
NSL_0040,food,खाना,khaanaa,FOOD,flat_O,mouth,circle_small,palm_inward,false,false,neutral,neutral,food_drink,1,1,
NSL_0041,rice,भात,bhaat,RICE,flat_O,mouth,scoop_up,palm_inward,false,false,neutral,neutral,food_drink,2,1,
NSL_0042,milk,दूध,dudh,MILK,fist_S,neutral_space,squeeze_repeated,palm_side,false,false,neutral,neutral,food_drink,2,1,
NSL_0043,sleep,सुत्नु,sutnu,SLEEP,flat_B,head_side,tilt_rest,palm_inward,false,false,neutral,tilt_forward,daily_verbs,1,1,
NSL_0044,go,जानु,jaanu,GO,index_D,neutral_space,move_forward,palm_forward,false,false,neutral,neutral,daily_verbs,1,1,
NSL_0045,come,आउनु,aaunu,COME,index_D,neutral_space,draw_inward,palm_up,false,false,raised,neutral,daily_verbs,1,1,
NSL_0046,work,काम,kaam,WORK,fist_S,neutral_space,tap_wrists,palm_down,true,true,neutral,neutral,daily_verbs,2,1,
NSL_0047,study,पढ्नु,padhnu,STUDY,flat_B,open_palm,point_scan,palm_up,true,false,neutral,neutral,daily_verbs,2,1,
NSL_0048,home,घर,ghar,HOME,flat_B,neutral_space,roof_shape,palm_down,true,true,neutral,neutral,places,1,1,
NSL_0049,school,विद्यालय,vidyaalaya,SCHOOL,flat_B,neutral_space,clap_twice,palm_down,true,true,neutral,neutral,places,2,1,
NSL_0050,help,मद्दत,maddat,HELP,flat_B,neutral_space,lift_up,palm_up,true,false,raised,neutral,daily_verbs,2,1,
NSL_0051,love,माया,maayaa,LOVE,fist_S,chest_center,cross_arms,palm_inward,true,true,raised,tilt_forward,feelings,2,1,
NSL_0052,happy,खुसी,khusi,HAPPY,flat_B,chest_center,brush_up,palm_inward,true,true,raised,nod,feelings,1,1,
NSL_0053,sad,दुःखी,dukhi,SAD,flat_5,face,slide_down,palm_inward,true,true,furrowed,tilt_forward,feelings,2,1,
NSL_0054,angry,रिसाएको,risaaeko,ANGRY,claw_5,chest_center,pull_up,palm_inward,true,true,furrowed,neutral,feelings,3,1,
NSL_0055,tired,थकित,thakit,TIRED,flat_B,chest_center,droop_down,palm_inward,true,true,furrowed,tilt_forward,feelings,2,1,
NSL_0056,hot,तातो,taato,HOT,claw_C,mouth,twist_away,palm_inward,false,false,furrowed,neutral,descriptions,2,1,
NSL_0057,cold,चिसो,chiso,COLD,fist_S,chest_center,shiver,palm_inward,true,true,furrowed,neutral,descriptions,2,1,
NSL_0058,big,ठूलो,thulo,BIG,curved_L,neutral_space,expand_apart,palm_facing,true,true,raised,neutral,descriptions,1,1,
NSL_0059,small,सानो,saano,SMALL,pinch_G,neutral_space,narrow_together,palm_facing,true,true,neutral,neutral,descriptions,1,1,
NSL_0060,today,आज,aaja,TODAY,flat_B,neutral_space,press_down,palm_down,true,true,neutral,neutral,time,2,1,
